acd_name,ahpra_proven,score_name,score_country,score_inst,score_topic,score_state,score_history,score_hospital,score_semantic,score_llm,total_score,confidence,reject_reason,ambiguity_flags
Dr Victoria Louise Venning,1,15,25,15,15,12,0,0,0,15,105,REVIEW,,PLAUSIBLE_CLINICIAN|AU_INSTITUTION_MATCH
Dr Victoria Rebecca Harris,1,0,15,15,15,12,15,0,0,0,65,NOT_FOUND,llm_rejected,COUNTRY_MISMATCH|INSTITUTION_MISMATCH
Dr Wenyuan  Liu,1,40,15,15,0,0,15,15,0,0,85,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COMMON_NAME|COUNTRY_MISMATCH|INSTITUTION_MISMATCH|HIGH_PUBLICATION_COUNT
Dr Werner  Sinclair,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr William Archer Berry,1,0,25,15,0,12,0,0,0,0,60,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COMMON_NAME|WEAK_TOPIC|INSTITUTION_MISMATCH
Dr William Kenneth Hedley,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Yan  Pan,1,40,15,15,0,12,15,0,0,0,87,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COMMON_NAME|COUNTRY_MISMATCH
Dr Yit Nah  Lau,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Young Jin  Kim,1,30,25,15,0,0,0,0,0,0,78,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COMMON_NAME|COUNTRY_MISMATCH|NAME_MISMATCH
Dr Yu-Chuan  Lee,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Yvonne Bao Ngoc Nguyen,1,0,25,15,0,12,0,0,0,0,60,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COMMON_NAME|COUNTRY_MISMATCH|WEAK_TOPIC|INSUFFICIENT_DATA
Dr Yvonne Yu-Ping Lee,1,15,25,15,15,0,0,0,0,0,78,REVIEW,,LLM_DISAGREEMENT|LOW_WORKS_COUNT|PLAUSIBLE_CLINICIAN|INSUFFICIENT_PUBLICATION_DATA|GEOGRAPHY_MISMATCH|COMMON_NAME|SPARSE_RECORD
Dr Zachary Graham Boyce,1,0,25,15,15,12,0,0,0,0,75,REVIEW,,LLM_DISAGREEMENT|LOW_WORKS_COUNT|GEOGRAPHY_MISMATCH_WITHIN_QLD|PLAUSIBLE_CLINICIAN|INSUFFICIENT_PUBLICATION_DATA|WEAK_TOPIC|LOW_PUBLICATION_COUNT
Dr Zeyad Samim Ahmed Al-Dabbagh,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Zoran Stephan Gaspar,1,0,25,15,15,0,0,0,0,0,63,NOT_FOUND,llm_rejected,COUNTRY_MISMATCH|INSTITUTION_MISMATCH|WEAK_TOPIC
Prof Deirdre Frances Murrell,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Prof Ingrid Margaret Winship,1,15,25,15,0,12,0,0,0,15,90,REVIEW,,SPECIALTY_WEAK|PLAUSIBLE_CLINICIAN|LOW_PUBLICATION_COUNT
Prof Rodney Daniel Sinclair,1,15,25,15,0,12,0,15,0,0,90,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|INSUFFICIENT_DATA|NAME_ORDER_REVERSED|INSTITUTION_MISMATCH|PLAUSIBLE_CLINICIAN
